Steps,User Time,Real Time,Growth Rate,QC position,Average Pressure,Average Sigma,Average Cell Growth,Average Vertex Velocity,Average Auxin Cytoplasm,Std Auxin Cytoplasm,Average Auxin Intercellular,Average PIN Cytoplasm,Average PIN Membrane,Average AUX1 Cytoplasm,Average Auxin Diffusion,Average Auxin Export,Average PIN1 Expression,Average PIN1 Trafficking,Anisotropy degree
86,2.58,2.55,3.4023,-0.659718 -18.2592 0,0,0,0.0542368,2.0257,0.520369,0.633096,0.0567311,1.14289,0.921557,11.3178,0,0.0147648,37.6122,34.0549,2.44055
87,2.61,2.58,3.50993,-0.664223 -18.4079 0,0,0,0.0544931,2.0553,0.523383,0.634872,0.056534,1.14251,0.925684,11.3275,0,0.0131227,37.7316,34.2026,2.44792
88,2.64,2.61,3.61588,-0.668952 -18.5576 0,0,0,0.0547211,2.08619,0.526287,0.636585,0.0563289,1.14195,0.929749,11.3354,0,0.0116682,37.8295,34.3341,2.45527
89,2.67,2.64,3.71983,-0.673927 -18.7081 0,0,0,0.0549231,2.11805,0.529073,0.638261,0.0561175,1.14123,0.933683,11.3419,0,0.0104077,37.9101,34.4462,2.4626
90,2.7,2.67,3.82145,-0.679159 -18.8594 0,0,0,0.0551007,2.15057,0.531732,0.63992,0.0559011,1.1404,0.937382,11.3476,0,0.00930952,37.9777,34.5413,2.46991
91,2.73,2.7,3.92031,-0.68466 -19.0113 0,0,0,0.055256,2.1835,0.534265,0.641584,0.0556813,1.13947,0.940785,11.3526,0,0.00840769,38.0358,34.6229,2.4777
92,2.76,2.73,4.01605,-0.690436 -19.1639 0,0,0,0.0553905,2.2165,0.536671,0.643262,0.0554606,1.13846,0.943893,11.3572,0,0.00771464,38.0866,34.6936,2.4859
93,2.79,2.76,4.10856,-0.696486 -19.3169 0,0,0,0.0555221,2.24926,0.538956,0.644968,0.0552405,1.13739,0.946714,11.3617,0,0.00718309,38.1317,34.7559,2.46577
94,2.82,2.79,4.19763,-0.702803 -19.4704 0,0,0,0.0556478,2.28151,0.54112,0.646712,0.0550244,1.13628,0.949271,11.3661,0,0.00694329,38.1719,34.8109,2.47289
95,2.85,2.82,4.28286,-0.709383 -19.6242 0,0,0,0.0557574,2.31298,0.543169,0.648513,0.0548111,1.13512,0.951566,11.3707,0,0.00661092,38.208,34.8607,2.48022
96,2.88,2.85,4.36379,-0.716216 -19.7783 0,0,0,0.0558534,2.34346,0.54511,0.650371,0.0546017,1.13392,0.953626,11.3755,0,0.00649974,38.2405,34.9063,2.48724
97,2.91,2.88,4.44008,-0.723278 -19.9324 0,0,0,0.0559389,2.37286,0.546949,0.652291,0.0543978,1.13268,0.955493,11.3804,0,0.00649286,38.2701,34.9486,2.49419
98,2.94,2.91,4.51155,-0.730535 -20.0867 0,0,0,0.0560051,2.40111,0.548692,0.654268,0.0541993,1.13139,0.957178,11.3857,0,0.00651944,38.2973,34.9892,2.50105
99,2.97,2.94,4.57828,-0.737975 -20.2409 0,0,0,0.0560637,2.42813,0.550341,0.6563,0.0540073,1.13004,0.958722,11.3912,0,0.00665618,38.3227,35.0274,2.50782
100,3,2.97,4.64035,-0.745581 -20.3951 0,0,0,0.0561167,2.45376,0.5519,0.65838,0.0538216,1.12864,0.960133,11.3971,0,0.00679706,38.3468,35.0633,2.51448
101,3.03,3,4.69783,-0.753331 -20.5491 0,0,0,0.0565538,2.47787,0.553369,0.660502,0.0536418,1.12718,0.961417,11.4032,0,0.00693242,38.3701,35.0962,2.50171
102,3.06,3.03,4.75075,-0.761229 -20.7031 0,0,0,0.0570051,2.50037,0.554753,0.662662,0.0534662,1.12566,0.962549,11.4096,0,0.00691224,38.3928,35.1262,2.50818
